해당함수,시스템콜 목록,CVE(패치버전) 목록
tcp_sk_init,unshare,CVE-2019-11479(5.1.10)
raw_sk_init,"socket, unshare",CVE-2021-20239(5.4.91)
ipv4_sysctl_init_net,unshare,CVE-2021-46912(?)
smc_setsockopt,unshare,CVE-2021-20239(5.4.91)
dev_get_valid_name,unshare,CVE-2018-7191(4.13.13)
netdev_run_todo,"close, setsockopt, unshare",CVE-2023-3338(?)
locks_delete_block,"fcntl, flock",CVE-2019-19769(5.3.10)
ip_ra_control,"close, setsockopt",CVE-2019-12381(5.1.5)
hci_sock_setsockopt,"close, socket",CVE-2024-35963(?)
pep_init,socket,CVE-2021-20239(5.4.91)
setsockopt,socket,CVE-2021-20239(5.4.91)
__sys_setsockopt,setsockopt,CVE-2021-20239(5.4.91)
sock_common_setsockopt,setsockopt,CVE-2022-3567(?)
ip_setsockopt,setsockopt,CVE-2021-20239(5.4.91)
netlink_setsockopt,setsockopt,CVE-2021-20239(5.4.91)
tcp_setsockopt,setsockopt,CVE-2022-3566(?)
smc_release,close,CVE-2022-48909(?)
sock_release,close,CVE-2018-12232(4.17.1)
ipv6_setsockopt,setsockopt,CVE-2021-20239(5.4.91)
packet_setsockopt,setsockopt,CVE-2017-1000111(4.12.6)
ip6_ra_control,setsockopt,CVE-2019-12378(5.1.5)
llc_ui_setsockopt,setsockopt,CVE-2021-20239(5.4.91)
af_alg_register_type,"bind, close, setsockopt, socket",CVE-2015-8970(4.4.1)
af_alg_release,close,CVE-2015-8970(4.4.1)
igc_clean_tx_ring,socket,CVE-2021-47302(?)
net_rx_action,"connect, exit_group, socket, sync",CVE-2019-3837(?)
hugetlb_reserve_pages,memfd_create,CVE-2018-7740(?)
mnt_get_count,"close, mq_open",CVE-2020-12114(5.2.21)
can_rcv,socket,CVE-2023-2166(6.0.19)
j1939_send_one,socket,CVE-2024-42076(?)
unix_release_sock,close,CVE-2022-3543(6.0.2)
unix_sock_destructor,"close, recvmsg",CVE-2022-3543(6.0.2)
bcm_release,close,CVE-2021-3609(5.13.1)
l2cap_sock_destruct,"close, socket",CVE-2021-3752(5.15.2)
l2cap_add_conf_opt,close,CVE-2022-42895(?)
sco_sock_setsockopt,close,CVE-2024-35967(?)
sco_sock_clear_timer,close,CVE-2024-36968(?)
init_kcm_sock,socket,CVE-2024-44946(?)
kcm_release,close,CVE-2022-3521(5.18.19)
llcp_sock_create,socket,CVE-2019-17056(5.3.2)
llcp_raw_sock_bind,close,CVE-2023-3863(6.4.3)
pppol2tp_create,"close, socket",CVE-2020-27067(?)
pppol2tp_release,close,CVE-2022-20567(?)
__inet_bind,bind,CVE-2023-0461(6.1.1)
inet_csk_get_port,"bind, listen",CVE-2023-0461(6.1.1)
apparmor_socket_sock_rcv_skb,"close, sendmsg",CVE-2023-52889(?)
__inet6_bind,bind,CVE-2023-0461(6.1.1)
udp_lib_get_port,bind,CVE-2024-41041(?)
ksys_mmap_pgoff,mmap,CVE-2020-9391(5.5.6)
do_mmap,"io_setup, mmap, shmat",CVE-2023-52902(?)
change_pte_range,"mprotect, pkey_mprotect",CVE-2022-48797(?)
do_mq_notify,mq_notify,CVE-2017-11176(4.12.1)
do_anonymous_page,"mlock, mq_notify",CVE-2017-1000379(4.11.6)
__anon_vma_prepare,"mlock, mq_notify",CVE-2022-42703(5.19.6)
lookup_user_key,"add_key, keyctl, request_key",CVE-2017-15951(4.13.9)
__key_instantiate_and_link,"add_key, keyctl",CVE-2024-36031(?)
wait_for_key_construction,"add_key, keyctl, request_key",CVE-2017-15951(4.13.9)
keyctl_update_key,keyctl,CVE-2017-15274(4.11.4)
keyctl_join_session_keyring,keyctl,CVE-2016-9604(4.10.12)
install_session_keyring_to_cred,keyctl,CVE-2017-7472(4.10.12)
keyctl_get_keyring_ID,keyctl,CVE-2016-9604(4.10.12)
key_set_timeout,keyctl,CVE-2017-15951(4.13.9)
keyctl_chown_key,keyctl,CVE-2017-15951(4.13.9)
key_payload_reserve,"add_key, keyctl",CVE-2017-15951(4.13.9)
keyctl_reject_key,keyctl,CVE-2017-7472(4.10.12)
keyctl_read_key,keyctl,CVE-2017-15951(4.13.9)
do_semtimedop,semtimedop,CVE-2021-3759(?)
inet_csk_listen_start,listen,CVE-2023-0461(6.1.1)
connect,clock_nanosleep,CVE-2020-29568(?)
__inet_hash_connect,connect,CVE-2024-26864(?)
secure_tcp_seq,connect,CVE-2022-32296(5.17.8)
tcp_connect,connect,CVE-2019-15239(?)
tcp_v4_do_rcv,"close, connect",CVE-2021-47103(?)
tcp_ack,"close, connect",CVE-2023-52881(?)
tcp_clean_rtx_queue,"close, connect",CVE-2019-15239(?)
tcp_schedule_loss_probe,"close, connect",CVE-2019-15239(?)
inet_sk_rx_dst_set,connect,CVE-2021-47103(?)
tcp_init_transfer,connect,CVE-2021-47304(?)
tcp_send_fin,close,CVE-2024-36905(?)
tcp_write_xmit,close,CVE-2019-15239(?)
tcp_mtu_probe,close,CVE-2022-1678(4.19)
___sys_recvmsg,recvmsg,CVE-2019-19241(5.4.1)
unix_dgram_recvmsg,recvmsg,CVE-2021-0920(?)
___sys_sendmsg,sendmsg,CVE-2019-19241(5.4.1)
wait_for_unix_gc,sendmsg,CVE-2022-2602(?)
maybe_add_creds,sendmsg,CVE-2024-36972(?)
unix_getname,accept,CVE-2021-0920(?)
unix_stream_sendmsg,sendmsg,CVE-2024-38596(?)
unix_stream_read_generic,recvmsg,CVE-2021-20265(?)
tcp_v6_connect,connect,CVE-2022-3566(?)
ipv6_dev_get_saddr,connect,CVE-2022-48785(?)
secure_ipv6_port_ephemeral,connect,CVE-2022-32296(5.17.8)
secure_tcpv6_seq,connect,CVE-2022-32296(5.17.8)
ip6_xmit,"close, connect",CVE-2024-44985(?)
ip6_output,"close, connect",CVE-2024-36901(?)
ip6_finish_output2,"close, connect",CVE-2024-44986(?)
tcp_v6_do_rcv,"close, connect",CVE-2021-47103(?)
inet6_sk_rx_dst_set,connect,CVE-2021-47103(?)
unix_seqpacket_sendmsg,sendmsg,CVE-2024-26732(?)
crypto_ahash_init_tfm,bind,CVE-2015-8970(4.4.1)
crypto_init_shash_ops_async,bind,CVE-2015-8970(4.4.1)
hash_accept_parent,accept,CVE-2015-8970(4.4.1)
hash_sock_destruct,close,CVE-2015-8970(4.4.1)
hook_cred_free,"access, clone, faccessat",CVE-2024-42318(?)
pipe_unlock,"splice, tee, vmsplice",CVE-2016-2847(4.4.8)
do_prlimit,prlimit64,CVE-2023-0458(6.1.7)
cap_convert_nscap,"fsetxattr, lsetxattr, setxattr",CVE-2021-3493(?)
ext4_xattr_set_handle,"fremovexattr, fsetxattr, lremovexattr, lsetxattr, removexattr, setxattr",CVE-2015-8952(4.5.7)
ext4_xattr_ibody_find,"fremovexattr, fsetxattr, lremovexattr, lsetxattr, removexattr, setxattr",CVE-2023-2513(5.19)
ext4_xattr_ibody_set,"fremovexattr, fsetxattr, lsetxattr, removexattr, setxattr",CVE-2024-40972(?)
ext4_xattr_set_entry,"fremovexattr, fsetxattr, lremovexattr, lsetxattr, removexattr, setxattr",CVE-2024-40972(?)
set_posix_acl,"fremovexattr, fsetxattr, lremovexattr, lsetxattr, removexattr, setxattr",CVE-2016-7097(4.8.2)
get_nr_dirty_inodes,"close, syncfs",CVE-2021-4218(?)
wb_queue_work,sync,CVE-2024-0562(?)
bio_endio,sync,CVE-2021-47412(?)
clear_page_dirty_for_io,"msync, sync",CVE-2017-1000379(4.11.6)
blk_cgroup_bio_start,"msync, sync, unlink",CVE-2024-0443(?)
blk_mq_submit_bio,"msync, sync, unlink",CVE-2023-52787(?)
bio_integrity_prep,"msync, sync, unlink",CVE-2024-43854(?)
__blk_mq_sched_bio_merge,"msync, sync, unlink",CVE-2021-46984(?)
newseg,shmget,CVE-2021-3759(?)
do_shmat,shmat,CVE-2017-5669(4.10.1)
__do_munmap,"io_destroy, mremap, munmap, shmdt",CVE-2020-29369(5.7.10)
unmap_region,"io_destroy, mremap, munmap, shmdt",CVE-2020-29369(5.7.10)
mincore_pte_range,mincore,CVE-2019-5489(4.19.13)
init_once,mq_open,CVE-2015-8839(?)
__usb_hcd_giveback_urb,"mq_unlink, statx",CVE-2022-48760(?)
usb_unanchor_urb,"mq_unlink, statx",CVE-2022-28390(5.17.1)
usb_hcd_submit_urb,"mq_unlink, statx",CVE-2022-48760(?)
__io_uring_register,io_uring_register,CVE-2022-20153(?)
io_sqe_files_register,io_uring_register,CVE-2023-52656(?)
llc_ui_recvmsg,setsockopt,CVE-2024-26636(?)
__get_user_pages,"mlock, mlock2",CVE-2020-29374(5.7.2)
check_vma_flags,"mlock, mlock2",CVE-2018-1120(4.16.9)
follow_hugetlb_page,"mlock, mlock2, move_pages, munlock",CVE-2019-11487(5.0.11)
__munlock_pagevec,munlock,CVE-2017-18221(4.11.3)
iterate_dir,getdents64,CVE-2019-10220(5.3.7)
filldir64,getdents64,CVE-2019-10220(5.3.7)
newque,msgget,CVE-2021-3759(?)
expunge_all,msgctl,CVE-2021-47069(?)
may_linkat,linkat,CVE-2020-8428(?)
sync_runqueues_membarrier_state,membarrier,CVE-2024-26602(?)
membarrier_global_expedited,membarrier,CVE-2024-26602(?)
node_dirty_ok,write,CVE-2021-4218(?)
ext4_es_insert_delayed_block,write,CVE-2023-45898(6.5.3)
filemap_fault,mmap,CVE-2014-8171(?)
ext4_page_mkwrite,mmap,CVE-2015-8839(?)
__dquot_free_space,unlink,CVE-2024-26878(?)
dquot_claim_space_nodirty,msync,CVE-2024-26878(?)
ext4_can_truncate,"ftruncate, truncate, unlink",CVE-2015-8839(?)
__ext4_ext_check,"ftruncate, truncate, unlink",CVE-2022-48631(?)
ext4_free_blocks,unlink,CVE-2021-3428(5.8.3)
timerfd_clock_was_set,"clock_adjtime, clock_settime",CVE-2017-10661(4.10.14)
copy_from_kernel_nofault_allowed,getcwd,CVE-2024-26906(?)
fcntl_setlk,fcntl,CVE-2024-41012(?)
posix_lock_inode,"close, fcntl",CVE-2024-41049(?)
do_syslog,syslog,CVE-2013-1772(?)
check_syslog_permissions,syslog,CVE-2013-1772(?)
do_mbind,mbind,CVE-2023-4611(6.4.7)
umount_tree,close,CVE-2016-6213(4.8.15)
do_sys_ftruncate,ftruncate,CVE-2024-42084(?)
unmap_mapping_pages,"fallocate, ftruncate, truncate",CVE-2023-3269(6.3.10)
ext4_fallocate,fallocate,CVE-2015-8839(?)
ext4_alloc_file_blocks,fallocate,CVE-2015-8839(?)
ext4_chunk_trans_blocks,fallocate,CVE-2015-8839(?)
ext4_zero_range,fallocate,CVE-2015-8839(?)
truncate_pagecache_range,fallocate,CVE-2017-15121(?)
aio_setup_ring,io_setup,CVE-2024-35815(?)
__mmdrop,io_destroy,CVE-2015-8709(4.4.1)
keyring_search_iterator,"add_key, keyctl, request_key",CVE-2017-15951(4.13.9)
find_key_to_update,add_key,CVE-2020-14353(?)
